const,your_rating,date_rated,title,title_type,runtime,year,genres,total_seasons,poster
tt0988045,10,2024-09-27,Sherlock Holmes,Movie,128,2009,"Adventure, Mystery, Action",,https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg
tt0110912,10,2024-09-25,Pulp Fiction,Movie,154,1994,"Crime, Drama",,https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_SX300.jpg
tt0120338,8,2022-09-23,Titanic,Movie,194,1997,"Romance, Drama",,https://m.media-amazon.com/images/M/MV5BYzYyN2FiZmUtYWYzMy00MzViLWJkZTMtOGY1ZjgzNWMwN2YxXkEyXkFqcGc@._V1_SX300.jpg
tt0460649,10,2024-09-27,How I Met Your Mother,TV Series,23,2005–2014,"Comedy, Romance, Drama",,https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_SX300.jpg
tt1049413,10,2024-09-27,Up,Movie,96,2009,"Animation, Family, Adventure, Comedy, Drama",,https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_SX300.jpg
tt3315342,10,2024-09-27,Logan,Movie,137,2017,"Action, Sci-Fi, Drama, Thriller",,https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_SX300.jpg
tt3032476,10,2024-09-27,Better Call Saul,TV Series,45,2015–2022,"Crime, Drama",,https://m.media-amazon.com/images/M/MV5BNDdjNTEzMjMtYjM3Mi00NzQ3LWFlNWMtZjdmYWU3ZDkzMjk1XkEyXkFqcGc@._V1_SX300.jpg
tt2084970,10,2024-03-01,The Imitation Game,Movie,114,2014,"Drama, Biography, Thriller, War",,https://m.media-amazon.com/images/M/MV5BNjI3NjY1Mjg3MV5BMl5BanBnXkFtZTgwMzk5MDQ3MjE@._V1_SX300.jpg
tt0372784,10,2022-09-08,Batman Begins,Movie,140,2005,"Action, Drama",,https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_SX300.jpg
tt4154756,10,2024-09-27,Avengers: Infinity War,Movie,149,2018,"Action, Sci-Fi, Adventure",,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg
tt10872600,9,2022-07-22,Spider-Man: No Way Home,Movie,148,2021,"Action, Adventure, Sci-Fi, Fantasy",,https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_SX300.jpg
tt0816692,10,2022-09-23,Interstellar,Movie,169,2014,"Sci-Fi, Adventure, Drama",,https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_SX300.jpg
tt0389860,10,2024-03-01,Click,Movie,107,2006,"Comedy, Drama, Romance, Fantasy",,https://m.media-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_SX300.jpg
tt0993846,10,2022-09-08,The Wolf of Wall Street,Movie,180,2013,"Crime, Drama, Biography, Comedy",,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg
tt6751668,10,2022-09-08,Parasite,Movie,132,2019,"Drama, Thriller",,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_SX300.jpg
